カード名(Card Name),カード画像ファイル名(Japanese Image Name),英語版カード画像ファイル名(English Image Name),"ファイル名(empty(B,S),""PR""(P))",ユニット名(Unit Name),ユニット名(英語)(Unit Name in English),登場コスト(Play Cost),CCあるか(if it has CC),CCコスト(CC Cost),色①(Color 1),色②(Color 2),戦闘力(Power),支援力(Support Powr),射程①(Range①),射程②(Range②),射程③(Range③),性別(Gender),武器1(Weapon①),武器2(Weapon②),武器3(Weapon③),効果のクラス名(You don't have to care about here),効果名1(Skill Name①),効果名2(Skill Name②),効果名3(Skill Name③),効果名4(Skill Name④),支援スキル名1(Support Skill Name①),支援スキル名2(Support Skill Name①),コードが出来てるか(作者記入),カードID(increase the number by one),デッキに入れられる上限枚数(4)(max count same name in one deck),パックID,備考(empty)
癒しの戦姫 ミスト,S05-004STplus_SAMPLE,Mist_S05-004ST+ by I deserve this,,ミスト,Mist,3,〇,2,緑,,50,20,1,,,女,剣,馬,,Misto_HealingBattlePrincess,ルーンソード,戦乙女の誘い,,,,,〇,347,,3,
冷徹なる参謀 セネリオ,S05-005STplus_SAMPLE,Soren_S05-005ST+ by I deserve this,,セネリオ,Soren,3,〇,2,緑,,50,20,1,2,,男,魔導書,,,Senerio_CoolSanbo,力の活用,風の使い手,,,,,〇,348,,3,
ノーマル系男子 蒼井樹,P03-001PR_SAMPLE,Itsuki Aoi_P03-001PR by I deserve this,PR,蒼井樹,Itsuki Aoi,1,,,青,,40,20,1,,,男,剣,シャープ,,Itsuki_NormalBoy,虚空斬波,,,,英雄の紋章,,〇,349,,3,
夢見る女子高生 織部つばさ,P03-002PR_SAMPLE,Tsubasa Oribe_P03-002PR by I deserve this,PR,織部つばさ,Tsubasa Oribe,1,,,赤,,40,20,1,,,女,槍,シャープ,,Tsubasa_DreamingHighSchoolStudent,エアリアルダンス,,,,天空の紋章,,〇,350,,3,
タナスの領主 オリヴァー,P03-003PR_SAMPLE,Oliver_P03-003PR by I deserve this,PR,オリヴァー,Oliver,3,〇,2,緑,,40,20,1,2,,男,魔導書,,,Oliver_TanasDomain,美の守護者,麗しき私の小鳥,,,,,〇,351,,3,
四駿最強の将 漆黒の騎士,P03-004PR_SAMPLE,Black Knight_P03-004PR by I deserve this,PR,漆黒の騎士,Black Knight,4,〇,3,緑,,70,0,1,,,男,剣,鎧,,BlackKnight_TheStrongestHero,漆黒の悪夢,,,,,,〇,352,,3,
傭兵団の青年 アイク,P03-005PR_SAMPLE,Ike_P03-005PR by I deserve this,PR1,アイク,Ike,1,,,緑,,40,20,1,,,男,剣,,,Ike_MercenaryTeamMun,若きリーダー,,,,英雄の紋章,,〇,353,,3,
暗夜の第一王女 カミラ,P03-006PR_SAMPLE,Camilla_P03-006PR by I deserve this,PR,カミラ,Camilla,1,,,黒,,30,30,1,,,女,斧,羽,竜,Kamira_AnnyaFirstPrincess,暗夜の王女,,,,天空の紋章,,〇,354,,3,
暗夜の妹姫 エリーゼ,P03-007PR_SAMPLE,Elise_P03-007PR by I deserve this,PR,エリーゼ,Elise,1,,,黒,,30,20,,,,女,杖,馬,,Ereese_AnnyaJuniorSister,ライブ,,,,祈りの紋章,,〇,355,,3,
ドジっ娘メイド フェリシア,P03-008PR_SAMPLE,Felicia_P03-008PR by I deserve this,PR,フェリシア,Felicia,3,〇,2,白,,50,20,1,2,,女,暗器,,,Fericia_CarelessMaid,ライブ,,,,,,〇,356,,3,
夢見る女子高生 織部つばさ,P03-009PR_SAMPLE,Tsubasa Oribe_P03-009PR by I deserve this,PR1,織部つばさ,Tsubasa Oribe,1,,,赤,,40,20,1,,,女,槍,シャープ,,Tsubasa_DreamingHighSchoolStudent,エアリアルダンス,,,,天空の紋章,,〇,357,,3,
暗夜の第一王女 カミラ,P03-010PR_SAMPLE,Camilla_P03-010PR by I deserve this,PR1,カミラ,Camilla,1,,,黒,,30,30,1,,,女,斧,羽,竜,Kamira_AnnyaFirstPrincess,暗夜の王女,,,,天空の紋章,,〇,358,,3,
白夜の妹王女 サクラ,P03-011PR_SAMPLE,Sakura_P03-011PR by I deserve this,PR1,サクラ,Sakura,1,,,白,,30,20,,,,女,杖,,,Sakura_ByakuyaJuniorPrincess,春祭,,,,祈りの紋章,,〇,359,,3,
暗夜の妹姫 エリーゼ,P03-012PR_SAMPLE,Elise_P03-012PR by I deserve this,PR1,エリーゼ,Elise,1,,,黒,,30,20,,,,女,杖,馬,,Ereese_AnnyaJuniorSister,ライブ,,,,祈りの紋章,,〇,360,,3,
亡国の王女 エリンシア,P03-013PR_SAMPLE,Elincia_P03-013PR by I deserve this,PR,エリンシア,Elincia,3,〇,2,緑,,50,30,1,,,女,剣,羽,馬,Elincia_QueenOfDeadCountry,白き戦装束,天空を翔ける者,,,,,〇,361,,3,
孤影の軍師 セネリオ,P03-014PR_SAMPLE,Soren_P03-014PR by I deserve this,PR,セネリオ,Soren,3,〇,2,緑,,50,20,1,2,,男,魔導書,,,Senerio_LonelyShadowGunshi,影の知略,,,,,,〇,362,,3,
泉の歌姫 アクア,P03-015PR_SAMPLE,Azura_P03-015PR by I deserve this,PR,アクア,Azura,1,,,白,,30,10,1,,,女,槍,,,Aqua_FountainSingPrincess,癒しの声,,,,歌舞の紋章,,〇,363,,3,
水面の歌姫 アクア,P03-016PR_SAMPLE,Azura_P03-016PR by I deserve this,PR1,アクア,Azura,1,,,黒,,30,10,1,,,女,槍,,,Aqua_WaterSurfaceSingPrincess,癒しの声,,,,歌舞の紋章,,〇,364,,3,
清廉なる歌姫 アクア,P03-017PR_SAMPLE,Azura_P03-017PR by I deserve this,PR,アクア,Azura,2,,,白,,40,10,1,,,女,槍,,,Aqua_CleanSingPrincess,導きの歌,鎮魂の舞,,,,,〇,365,,3,
セイクリッドアイドル 織部つばさ,B04-001SRplus_SAMPLE,Tsubasa Oribe_B04-001SR+ by I deserve this,,織部つばさ,Tsubasa Oribe,5,〇,4,赤,,70,20,1,,,女,槍,シャープ,,Tsubasa_SacredIdol,グランドフィナーレ,Fly〜君という風〜,,,,,〇,366,,4,
体当たりアイドル 織部つばさ,B04-002N_SAMPLE,Tsubasa Oribe_B04-002N by I deserve this,,織部つばさ,Tsubasa Oribe,3,〇,2,赤,,60,20,1,,,女,槍,シャープ,,Tsubasa_AttackIdol,セッション,,,,,,〇,367,,4,
夢見る女子高生 織部つばさ,B04-003HN_SAMPLE,Tsubasa Oribe_B04-003HN by I deserve this,,織部つばさ,Tsubasa Oribe,1,,,赤,,40,20,1,,,女,槍,シャープ,,Tsubasa_DreamingHighSchoolStudent,エアリアルダンス,,,,天空の紋章,,〇,368,,4,
幻影の天馬騎士 シーダ,B04-004N_SAMPLE,Caeda_B04-004N by I deserve this,,シーダ,Caeda,1,,,赤,,0,20,1,,,女,槍,羽,シャープ,Sheeda_FantomHorseKnight,カルネージフォーム,ツバサと共に,,,幻影の紋章,,〇,369,,4,
覚醒するヒーロー 赤城斗馬,B04-005SRplus_SAMPLE,Touma Akagi_B04-005SR+ by I deserve this,,赤城斗馬,Touma Akagi,4,〇,3,赤,,70,10,1,,,男,槍,シャープ,,Toma_AwakenHero,暴虐のスロットル,ジャンプ!! 鳳牙!!!,,,,,〇,370,,4,
華麗なピンチヒッター 赤城斗馬,B04-006N_SAMPLE,Touma Akagi_B04-006N by I deserve this,,赤城斗馬,Touma Akagi,3,〇,2,赤,,60,10,1,,,男,槍,シャープ,,Toma_BrilliantPntiHitter,ガイアの囁き,,,,,,〇,371,,4,
チョイ役エキストラ 赤城斗馬,B04-007HN_SAMPLE,Touma Akagi_B04-007HN by I deserve this,,赤城斗馬,Touma Akagi,1,,,赤,,40,10,1,,,男,槍,シャープ,,Toma_LittleExtra,熱きヒーロー魂,,,,攻撃の紋章,,〇,372,,4,
勇猛なる幻影騎兵 カイン,B04-008N_SAMPLE,Cain_B04-008N by I deserve this,,カイン,Cain,1,,,赤,,0,20,1,,,男,槍,シャープ,,Kain_BraveFantomKnight,カルネージフォーム,爆速のエクスタシー,,,幻影の紋章,,〇,373,,4,
全国民の妹 源まもり,B04-009Rplus_SAMPLE,Mamori Minamoto_B04-009R+ by I deserve this,,源まもり,Mamori Minamoto,4,〇,3,赤,,60,10,1,,,女,斧,鎧,シャープ,Mamori_EveyonesSister,雨音のメモリー,まもってあげたい,,,,,〇,374,,4,
勇気のまもりん 源まもり,B04-010N_SAMPLE,Mamori Minamoto_B04-010N by I deserve this,,源まもり,Mamori Minamoto,3,〇,2,赤,,50,10,1,,,女,斧,鎧,シャープ,Mamori_BraveMamorin,アックスボンバー,レンチン☆ソウル,,,,,〇,375,,4,
レンチンアイドル 源まもり,B04-011HN_SAMPLE,Mamori Minamoto_B04-011HN by I deserve this,,源まもり,Mamori Minamoto,1,,,赤,,30,10,1,,,女,斧,鎧,シャープ,Mamori_RenchinIdol,大切断,レンチン☆ハート,,,防御の紋章,,〇,376,,4,
堅牢堅固な幻影騎士 ドーガ,B04-012N_SAMPLE,Draug_B04-012N by I deserve this,,ドーガ,Draug,1,,,赤,,0,20,1,,,男,斧,鎧,シャープ,Doga_SolidFantomKnight,カルネージフォーム,慈愛の盾,,,幻影の紋章,,〇,377,,4,
一流を超えた一流 剣弥代,B04-013Rplus_SAMPLE,Yashiro Tsurugi_B04-013R+ by I deserve this,,剣弥代,Yashiro Tsurugi,4,〇,3,赤,,70,10,1,,,男,剣,シャープ,,Yashiro_FirstClassBeyondFirstClass,因果切断,一流の輝き,,,,,〇,378,,4,
絆を知った男 剣弥代,B04-014N_SAMPLE,Yashiro Tsurugi_B04-014N by I deserve this,,剣弥代,Yashiro Tsurugi,3,〇,2,赤,,60,10,1,,,男,剣,シャープ,,Yashiro_KnowBond,謎の転校生,,,,,,〇,379,,4,
心に刃を持つ男 剣弥代,B04-015HN_SAMPLE,Yashiro Tsurugi_B04-015HN by I deserve this,,剣弥代,Yashiro Tsurugi,1,,,赤,,40,10,1,,,男,剣,シャープ,,Yashiro_HaveSwordInHisHeart,戯れなら余所でやれ,,,,攻撃の紋章,,〇,380,,4,
寡黙なる紅き幻影 ナバール,B04-016N_SAMPLE,Navarre_B04-016N by I deserve this,,ナバール,Navarre,1,,,赤,,0,20,1,,,男,剣,シャープ,,Nabar_SilentRedFantom,カルネージフォーム,怨敵調伏,,,幻影の紋章,,〇,381,,4,
幻影のウタロイド チキ,B04-017HN_SAMPLE,Tiki_B04-017HN by I deserve this,,チキ,Tiki,1,,,赤,,30,20,1,,,女,竜石,竜,シャープ,Chiki_FantomUtaroid,ブルームパレスの扉,,,,祈りの紋章,,〇,382,,4,
幻影のウタロイド チキ,B04-017HNX_SAMPLE,Tiki_B04-017HNX by I deserve this,,チキ,Tiki,1,,,青,,30,20,1,,,女,竜石,竜,シャープ,Chiki_FantomUtaroid,ブルームパレスの扉,,,,祈りの紋章,,〇,383,,4,
光の英雄王 マルス,B04-018SRplus_SAMPLE,Marth_B04-018SR+ by I deserve this,,マルス,Marth,4,〇,3,赤,,70,20,1,,,男,剣,,,Mars_LightHeroKing,群の英雄,ファルシオン,,,,,〇,384,,4,
勇者の末裔 マルス,B04-019HN_SAMPLE,Marth_B04-019HN by I deserve this,,マルス,Marth,1,,,赤,,40,20,1,,,男,剣,,,Mars_HeroAncestor,神秘の宝玉,,,,運命の紋章,,〇,385,,4,
暗黒戦争の英雄 オグマ,B04-020N_SAMPLE,Ogma_B04-020N by I deserve this,,オグマ,Ogma,3,〇,2,赤,,60,10,1,,,男,剣,,,Oguma_DarkWarHero,誓いの剣,ドラゴンソード,,,,,〇,386,,4,
気高き姉王女 ユミナ,B04-021HN_SAMPLE,Yumina_B04-021HN by I deserve this,,ユミナ,Yumina,3,〇,2,赤,,50,20,1,2,,女,魔導書,,,Yumina_ProudSisterQueen,姉弟の戦い,王族たる力,,,,,〇,387,,4,
グルニアの王女 ユミナ,B04-022N_SAMPLE,Yumina_B04-022N by I deserve this,,ユミナ,Yumina,1,,,赤,,20,20,,,,女,杖,,,Yumina_GuruniaPrincess,ライブ,双子の絆,,,祈りの紋章,,〇,388,,4,
聡明な弟王子 ユベロ,B04-023HN_SAMPLE,Yubello_B04-023HN by I deserve this,,ユベロ,Yubello,3,〇,2,赤,,50,20,1,2,,男,魔導書,,,Yubero_CleverBrotherPrince,姉弟の戦い,王族たる知識,,,,,〇,389,,4,
グルニアの王子 ユベロ,B04-024N_SAMPLE,Yubello_B04-024N by I deserve this,,ユベロ,Yubello,1,,,赤,,30,20,1,2,,男,魔導書,,,Yubero_GuruniaPrince,魔道の学び手,,,,魔術の紋章,,〇,390,,4,
お年頃シスター マリーシア,B04-025N_SAMPLE,Maricia_B04-025N by I deserve this (1),,マリーシア,Maricia,1,,,赤,,20,20,,,,女,杖,,,Maricia_GoodOldSister,ライブ,マルス様のためなら!,,,祈りの紋章,,〇,391,,4,
優しき翼の白騎士 パオラ,B04-026N_SAMPLE,Palla_B04-026N by I deserve this,,パオラ,Palla,2,,,赤,,40,30,1,,,女,槍,羽,馬,Paora_KindWingWhiteKnight,パオラの激励,,,,,,〇,392,,4,
疾き翼の白騎士 カチュア,B04-027N_SAMPLE,Catria_B04-027N by I deserve this,,カチュア,Catria,2,,,赤,,40,30,1,,,女,槍,羽,馬,Kachua_FastWingWhiteKnight,カチュアの手槍,,,,,,〇,393,,4,
若き翼の白騎士 エスト,B04-028N_SAMPLE,Est_B04-028N by I deserve this,,エスト,Est,2,,,赤,,40,30,1,,,女,槍,羽,馬,Esto_YoungWingWhiteKnight,エストの風笛,,,,,,〇,394,,4,
聖女を捜すシーフ ジュリアン,B04-029R_SAMPLE,Julian_B04-029R by I deserve this,,ジュリアン,Julian,3,〇,2,赤,,60,10,1,,,男,剣,,,Julian_SearchForSaint,すり抜け,義賊のお宝,,,,,〇,395,,4,
元サムシアンの盗賊 ジュリアン,B04-030N_SAMPLE,Julian_B04-030N by I deserve this,,ジュリアン,Julian,1,,,赤,,30,10,1,,,男,剣,,,Julian_ThiefOriginSamusina,潜入調査,,,,盗賊の紋章,,〇,396,,4,
仮面の黒騎士 シリウス,B04-031Rplus_SAMPLE,Sirius_B04-031R+ by I deserve this,,シリウス,Sirius,4,〇,3,赤,,70,10,1,,,男,槍,馬,,Cilius_MaskedBlackKnight,隠された眼光,圧倒する槍技,,,,,〇,397,,4,
謎の剣士 シリウス,B04-032N_SAMPLE,Sirius_B04-032N by I deserve this,,シリウス,Sirius,1,,,赤,,40,10,1,,,男,剣,,,Cilius_MysteriousSwordman,守護の剣,,,,攻撃の紋章,,〇,398,,4,
必殺の剣の使い手 サムトー,B04-033HN_SAMPLE,Samto_B04-033HN by I deserve this,,サムトー,Samto,3,〇,2,赤,,60,10,1,,,男,剣,,,Samuto_CriticalSwordUser,チッばれちまったか,今宵の必殺剣はよく切れる…,,,,,〇,399,,4,
ナバールを名乗る剣士 サムトー,B04-034N_SAMPLE,Samto_B04-034N by I deserve this,,サムトー,Samto,1,,,赤,,40,10,1,,,男,剣,,,Samuto_SayingNabar,ウソ!…ウソですよ,剣闘士の絆,,,攻撃の紋章,,〇,400,,4,
さすらいの舞姫 フィーナ,B04-035R_SAMPLE,Phina_B04-035R by I deserve this,,フィーナ,Phina,2,,,赤,,20,10,1,,,女,剣,,,Olivie_TereyaDancer,踊り,,,,,,〇,401,,4,
灼赤の将姫 ミネルバ,B04-036SR_SAMPLE,Minerva_B04-036R by I deserve this,,ミネルバ,Minerva,5,〇,4,赤,,60,30,1,,,女,斧,羽,竜,Minelva_RedBravePrincess,天覆う翼,竜騎の将,,,,,〇,402,,4,
朱き女騎士 ミネルバ,B04-037N_SAMPLE,Minerva_B04-037N by I deserve this,,ミネルバ,Minerva,1,,,赤,,40,10,1,,,女,剣,,,Minelva_RedFemaleKnight,マケドニアの剣,,,,攻撃の紋章,,〇,403,,4,
超魔法の継承者 マリク,B04-038R_SAMPLE,Merric_B04-038R by I deserve this,,マリク,Merric,3,〇,2,赤,,50,20,1,2,,男,魔導書,,,Marik_SuperMagicHeir,高等魔術,エクスカリバー,,,,,〇,404,,4,
ウェンデルの高弟 マリク,B04-039N_SAMPLE,Merric_B04-039N by I deserve this,,マリク,Merric,1,,,赤,,30,20,1,2,,男,魔導書,,,Marik_WendelHighBrother,カダインの門徒,,,,魔術の紋章,,〇,405,,4,
心優しき狼 ロシェ,B04-040N_SAMPLE,Roshea_B04-040N by I deserve this,,ロシェ,Roshea,1,,,赤,,40,10,1,,,男,槍,馬,,Roshe_HeartfulWolf,草原の運び手,,,,攻撃の紋章,,〇,406,,4,
狼騎士団の団長 ウルフ,B04-041N_SAMPLE,Wolf_B04-041N by I deserve this,,ウルフ,Wolf,3,〇,2,赤,,50,20,2,,,男,弓,馬,,Wolf_LeaderOfWolfKnights,開戦の号令,飛行特効,,,,,〇,407,,4,
狼騎士団の副長 ザガロ,B04-042N_SAMPLE,Sedgar_B04-042N by I deserve this,,ザガロ,Sedgar,3,〇,2,赤,,50,20,2,,,男,弓,馬,,Zagaro_SubLeaderOfWolfKnights,副長の采配,飛行特効,,,,,〇,408,,4,
不動の狼 ビラク,B04-043N_SAMPLE,Vyland_B04-043N by I deserve this,,ビラク,Vyland,1,,,赤,,40,10,1,,,男,槍,馬,,Roshe_HeartfulWolf,草原の運び手,,,,攻撃の紋章,,〇,409,,4,
暗黒皇帝 ハーディン,B04-044SR_SAMPLE,Hardin_B04-044SR by I deserve this,,ハーディン,Hardin,5,〇,4,赤,,70,0,1,,,男,槍,,,Hardin_DarkEmperor,闇のオーブ,血染めの神槍,生け贄,,,,〇,410,,4,
草原の狼 ハーディン,B04-045R_SAMPLE,Hardin_B04-045R by I deserve this,,ハーディン,Hardin,4,〇,3,赤,,70,10,1,,,男,槍,馬,,Hardin_GrassWolf,猛き白狼,草原の支配者,,,,,〇,411,,4,
オレルアンの王弟 ハーディン,B04-046HN_SAMPLE,Hardin_B04-046HN by I deserve this,,ハーディン,Hardin,1,,,赤,,40,10,1,,,男,槍,馬,,Hardin_OreruanJuniorKing,オレルアンの絆,,,,攻撃の紋章,,〇,412,,4,
マケドニア王 ミシェイル,B04-047Rplus_SAMPLE,Michalis_B04-047R+ by I deserve this,,ミシェイル,Michalis,5,〇,4,赤,,60,30,1,,,男,槍,羽,竜,Misheil_MakedoniaKing,アイオテの再来,遺された希望,,,,,〇,413,,4,
救国の聖女 ニーナ,B04-048SR_SAMPLE,Nyna_B04-048SR by I deserve this,,ニーナ,Nyna,5,,,赤,,20,20,,,,女,,,,Nina_RescueCountrySaint,アカネイアの白薔薇,,,,,,〇,414,,4,
鶴紋の武人 ユズ,B04-049HN_SAMPLE,Yuzu_B04-049HN by I deserve this,,ユズ,Yuzu,3,〇,2,赤,,60,10,1,,,女,斧,,,Yuzu_CraneSymbolWarrior,武芸百般,巧みな手綱,,,,,〇,415,,4,
紫電の射手 ユズ,B04-050HN_SAMPLE,Yuzu_B04-050HN by I deserve this,,ユズ,Yuzu,3,〇,2,赤,,50,20,2,,,女,弓,,,Yuzu_PurpleLightningArcher,撹乱射撃,智将の才覚,飛行特効,,,,〇,416,,4,
ザ・ライトスタッフ 蒼井樹,B04-051SRplus_SAMPLE,Itsuki Aoi_B04-051SR+ by I deserve this,,蒼井樹,Itsuki Aoi,5,〇,4,青,,70,20,1,,,男,剣,シャープ,,Itsuki_TheLightStuff,揺るぎなき決意,ロードオブローズ,,,,,〇,417,,4,
タレント見習い 蒼井樹,B04-052N_SAMPLE,Itsuki Aoi_B04-052N by I deserve this,,蒼井樹,Itsuki Aoi,3,〇,2,青,,60,20,1,,,男,剣,シャープ,,Tsubasa_AttackIdol,セッション,,,,,,〇,418,,4,
ノーマル系男子 蒼井樹,B04-053HN_SAMPLE,Itsuki Aoi_B04-053HN by I deserve this,,蒼井樹,Itsuki Aoi,1,,,青,,40,20,1,,,男,剣,シャープ,,Itsuki_NormalBoy,虚空斬波,,,,英雄の紋章,,〇,419,,4,
若き幻影の君主 クロム,B04-054N_SAMPLE,Chrom_B04-054N by I deserve this,,クロム,Chrom,1,,,青,,0,20,1,,,男,剣,シャープ,,Crom_YoungFantomDomain,カルネージフォーム,一心同体,,,幻影の紋章,,〇,420,,4,
クールorキュート 黒乃霧亜,B04-055Rplus_SAMPLE,Kiria Kurono_B04-055R+ by I deserve this,,黒乃霧亜,Kiria Kurono,4,〇,3,青,,60,20,1,2,,女,魔導書,シャープ,,Kiria_CoolOrCute,迷路,パステルアワー,,,,,〇,421,,4,
クールビューティ 黒乃霧亜,B04-056N_SAMPLE,Kiria Kurono_B04-056N by I deserve this,,黒乃霧亜,Kiria Kurono,3,〇,2,青,,50,20,1,2,,女,魔導書,シャープ,,Kiria_CoolBeauty,幻想のステージ,,,,,,〇,422,,4,
カリスマシンガー 黒乃霧亜,B04-057HN_SAMPLE,Kiria Kurono_B04-057HN by I deserve this,,黒乃霧亜,Kiria Kurono,1,,,青,,30,20,1,2,,女,魔導書,シャープ,,Kiria_CharismaSinger,ディープフリーズ,,,,暗闇の紋章,,〇,423,,4,
幻影の闇魔術師 サーリャ,B04-058N_SAMPLE,Tharja_B04-058N by I deserve this,,サーリャ,Tharja,1,,,青,,0,20,1,2,,女,魔導書,シャープ,,Sarya_FantomDarkSorcerer,カルネージフォーム,オーバーフリーズ,,,幻影の紋章,,〇,424,,4,
プレシャスアクトレス 弓弦エレオノーラ,B04-059Rplus_SAMPLE,Eleonora Yumizuru_B04-059R+ by I deserve this,,弓弦エレオノーラ,Eleonora Yumizuru,4,〇,3,青,,60,20,2,,,女,弓,シャープ,,Eleonora_PreciousActress,運命の一射,飛行特効,,,,,〇,425,,4,
グイグイヒロイン 弓弦エレオノーラ,B04-060N_SAMPLE,Eleonora Yumizuru_B04-060N by I deserve this,,弓弦エレオノーラ,Eleonora Yumizuru,3,〇,2,青,,50,20,2,,,女,弓,シャープ,,Eleonora_GuiGuiHeroine,ときめき片想い,飛行特効,,,,,〇,426,,4,
野望の若手女優 弓弦エレオノーラ,B04-061HN_SAMPLE,Eleonora Yumizuru_B04-061HN by I deserve this,,弓弦エレオノーラ,Eleonora Yumizuru,1,,,青,,30,20,2,,,女,弓,シャープ,,Eleonora_AmbitiousYoungActress,イッツ・レイト,飛行特効,,,攻撃の紋章,,〇,427,,4,
華麗なる幻影弓手 ヴィオール,B04-062N_SAMPLE,Virion_B04-062N by I deserve this,,ヴィオール,Virion,1,,,青,,0,20,2,,,男,弓,シャープ,,Viorle_BrilliantFantomArcher,カルネージフォーム,オール・デッド,,,幻影の紋章,,〇,428,,4,
聖瞳の公主 ルキナ,B04-063SRplus_SAMPLE,Lucina_B04-063SR+ by I deserve this,,ルキナ,Lucina,4,〇,3,青,,70,20,1,,,女,剣,,,Lucina_SaintEyeDomain,運命を変えます,聖なる剣光,,,,,〇,429,,4,
未来から来た剣士 ルキナ,B04-064HN_SAMPLE,Lucina_B04-064HN by I deserve this,,ルキナ,Lucina,1,,,青,,40,20,1,,,女,剣,,,Lucina_SwordmanFromFuture,英雄王の名,未来の記憶,,,運命の紋章,,〇,430,,4,
聖王の神軍師 ルフレ(男),B04-065SRplus_SAMPLE,Robin(M)_B04-065SR+ by I deserve this,,ルフレ(男),Robin(M),4,〇,3,青,,70,20,1,,,男,剣,,,LufureOtoko_SaintKingKamiGunshi,七色の叫び,次なる一手,,,,,〇,431,,4,
記憶をなくした軍師 ルフレ(男),B04-066HN_SAMPLE,Robin(M)_B04-066HN by I deserve this,,ルフレ(男),Robin(M),1,,,青,,40,20,1,,,男,剣,,,LufureOtoko_MemoryLessGunshi,巧みな軍略,,,,計略の紋章,,〇,432,,4,
フェリアの鬼神 ロンクー,B04-067SR_SAMPLE,Lon_qu_B04-067SR by I deserve this,,ロンクー,Lon,4,〇,3,青,,70,10,1,,,男,剣,,,Ronkue_FeriaDemonGod,双鬼斬,剣の冴え,,,,,〇,433,,4,
西王の後継者 ロンクー,B04-068HN_SAMPLE,Lon_qu_B04-068HN by I deserve this,,ロンクー,Lon,1,,,青,,40,10,1,,,男,剣,,,Ronkue_WestKingHeir,神剣闘技,,,,攻撃の紋章,,〇,434,,4,
タグエルの末裔 ベルベット,B04-069N_SAMPLE,Panne_B04-069N by I deserve this,,ベルベット,Panne,3,,,青,,60,10,1,,,女,獣,馬,,Belbet_TagelAncestor,狩りの呼吸,,,,,,〇,435,,4,
闇夜の甘き芳香 ガイア,B04-070R_SAMPLE,Gaius_B04-070R by I deserve this,,ガイア,Gaius,4,〇,3,青,,60,10,1,,,男,剣,,,Gaia_DarkNightSweetSmell,宝物庫の扉,ガイアの高級菓子,,,,,〇,436,,4,
スイートな盗賊 ガイア,B04-071N_SAMPLE,Gaius_B04-071N by I deserve this,,ガイア,Gaius,1,,,青,,40,10,1,,,男,剣,,,Gaia_SweetNaThief,甘味補充,,,,盗賊の紋章,,〇,437,,4,
パーフェクト・ジーニアス ティアモ,B04-072SR_SAMPLE,Cordelia_B04-072SR by I deserve this,,ティアモ,Cordelia,4,〇,3,青,,60,30,1,,,女,槍,羽,馬,Thiamo_PerfectGenius,蒼穹の女神,完璧な采配,,,,,〇,438,,4,
空翔ける天才少女 ティアモ,B04-073HN_SAMPLE,Cordelia_B04-073HN by I deserve this,,ティアモ,Cordelia,1,,,青,,30,30,1,,,女,槍,羽,馬,Thiamo_SkyRushGeniusGirl,大空を舞う者,,,,天空の紋章,,〇,439,,4,
情に厚い傭兵 グレゴ,B04-074N_SAMPLE,Gregor_B04-074N by I deserve this,,グレゴ,Gregor,3,〇,2,青,,50,20,2,,,男,弓,馬,,Grego_HeartThickMercenary,戦場のくわせ者,飛行特効,,,,,〇,440,,4,
美貌の僧侶 リベラ,B04-075N_SAMPLE,Libra_B04-075N by I deserve this,,リベラ,Libra,3,〇,2,青,,60,10,1,,,男,斧,,,Rivela_BeautifulPriest,僧侶の戦斧,,,,,,〇,441,,4,
解放軍の剣姫 サイリ,B04-076R_SAMPLE,Say_ri_B04-076R by I deserve this,,サイリ,Say,3,〇,2,青,,60,10,1,,,女,剣,,,Sairi_ReleaseSwordPrincess,流水の剣,解放軍の指揮官,,,,,〇,442,,4,
ソンシンの王女 サイリ,B04-077N_SAMPLE,Say_ri_B04-077N by I deserve this,,サイリ,Say,1,,,青,,40,10,1,,,女,剣,,,Sairi_SonshinPrincess,剣の修行,,,,攻撃の紋章,,〇,443,,4,
豪胆王 バジーリオ,B04-078N_SAMPLE,Basilio_B04-078N by I deserve this,,バジーリオ,Basilio,3,〇,2,青,,60,10,1,,,男,斧,,,Bajirio_GoutanKing,東西の王,手斧,,,,,〇,444,,4,
女傑王 フラヴィア,B04-079N_SAMPLE,Flavia_B04-079N by I deserve this,,フラヴィア,Flavia,3,〇,2,青,,60,10,1,,,女,剣,,,Fravia_FemaleKing,東西の王,サンダーソード,,,,,〇,445,,4,
成長した村人 ドニ,B04-080HN_SAMPLE,Donnel_B04-080HN by I deserve this,,ドニ,Donnel,3,〇,2,青,,60,10,1,,,男,剣,,,Doni_GrownVillager,畑に水やるべ!,才能の開花,,,,,〇,446,,4,
剣を取りし村人 ドニ,B04-081N_SAMPLE,Donnel_B04-081N by I deserve this,,ドニ,Donnel,2,,,青,,50,10,1,,,男,剣,,,Doni_VillagerWithSword,畑に種まくべ!,,,,,,〇,447,,4,
幼き村人 ドニ,B04-082N_SAMPLE,Donnel_B04-082N by I deserve this,,ドニ,Donnel,1,,,青,,30,20,1,,,男,槍,,,Doni_YoungVillager,畑を耕すべ!,,,,抵抗の紋章,,〇,448,,4,
時の迷い子 マーク（女）,B04-083Rplus_SAMPLE,Morgan(F)_B04-083R+ by I deserve this,,マーク(女),Morgan(F),3,〇,2,青,,60,20,1,,,女,剣,,,MarkOnnna_TimeLostChild,無限の可能性,華炎,,,,,〇,449,,4,
