カード名,カード画像ファイル名,英語版カード画像ファイル名,ファイル名(空白ならカード名と同じ),ユニット名,ユニット名(英語),登場コスト,CCあるか,CCコスト,色①,色②,戦闘力,支援力,射程①,射程②,射程③,性別,武器1,武器2,武器3,効果のクラス名,効果名1,効果名2,効果名3,効果名4,支援スキル名1,支援スキル名2,コードが出来てるか(作者記入),カードID,デッキに入れられる上限枚数(4),パックID,備考
暗夜王国の王女 カムイ(女),P01-002PR_SAMPLE,Corrin(F)_P01-002PR by I deserve this,PR,カムイ(女),Corrin(F),1,,,黒,,40,20,1,,,女,剣,,,KamuiOnnna_AnnnaPrincess,白夜の心,夜刀神・長夜,,,英雄の紋章,,〇,109,,1,
アリティアの王子 マルス,P01-003PR_SAMPLE,Marth_P01-003PR by I deserve this,PR,マルス,Marth,1,,,赤,,40,20,1,,,男,剣,,,Mars_PrinceOfArithia,若き英雄,,,,英雄の紋章,,〇,110,,1,
マルスを名乗る剣士 ルキナ,P01-004PR_SAMPLE,Lucina_P01-004PR by I deserve this,PR,ルキナ,Lucina,1,,,青,,40,20,1,,,女,剣,,,Lukina_SayingMars,英雄王の名,裏剣 ファルシオン,,,英雄の紋章,,〇,111,,1,
正義を貫く王子 クロム,P01-005PR_SAMPLE,Chrom_P01-005PRr by I deserve this,PR,クロム,Chrom,3,〇,2,青,,60,20,1,,,男,剣,,,Crom_JuticePrince,白銀の君主,,,,,,〇,112,,1,
忠義の古強者 ジェイガン,P01-006PR_SAMPLE,Jagen_P01-006PR by I deserve this,PR,ジェイガン,Jagen,3,〇,2,赤,,70,20,1,,,男,槍,馬,,Jeigan_OldPowerful,戦場の教育役,,,,,,〇,113,,1,
癒しの勇者 リフ,P01-007PR_SAMPLE,Wrys_P01-007PR by I deserve this,PR,リフ,Wrys,3,〇,2,赤,,60,10,1,,,男,斧,,,Rifu_HealingHero,きずぐすり,,,,,,〇,114,,1,
マケドニアの王女 ミネルバ,P01-008PR_SAMPLE,Minerva_P01-008PR by I deserve this,PR,ミネルバ,Minerva,1,,,赤,,30,30,1,,,女,槍,羽,馬,Minelva_PricessOfMakedonia,マケドニアの風,,,,天空の紋章,,〇,115,,1,
恋心を秘めた騎士 ティアモ,P01-009PR_SAMPLE,Cordelia_P01-009PR by I deserve this,PR,ティアモ,Cordelia,2,,,青,,40,30,1,,,女,槍,羽,馬,Thiamo_SealedLoveKnight,リフレッシュ,手槍,,,,,〇,116,,1,
物陰の闇使い サーリャ,P01-010PR_SAMPLE,Tharja_P01-010PR by I deserve this,PR,サーリャ,Tharja,1,,,青,,30,20,1,2,,女,魔導書,,,Sarya_ShadowDarkUser,呪い,,,,暗闇の紋章,,〇,117,,1,
追憶の神竜族 チキ,P01-011PR_SAMPLE,Tiki_P01-011PR by I deserve this,PR,チキ,Tiki,2,,,青,,30,20,1,2,,女,竜石,竜,,Chiki_RememberDragon,神竜の巫女,長寿な竜一族,,,,,〇,118,,1,
亡国の王子 マルス,P01-012PR_SAMPLE,Marth_P01-012PR by I deserve this,PR,マルス,Marth,2,,,赤,,50,20,1,,,男,剣,,,Mars_PrinceOfDeadCountry,英雄の資質,,,,,,〇,119,,1,
雌伏の王子 マルス,P01-013PR_SAMPLE,Marth_P01-013PR by I deserve this,PR,マルス,Marth,3,〇,2,赤,,60,20,1,,,男,剣,,,Mars_ShifukuPrince,勇敢なる王子,レイピア,,,,,〇,120,,1,
聖王の血を引く者 ルキナ,P01-014PR_SAMPLE,Lucina_P01-014PR by I deserve this,PR,ルキナ,Lucina,2,,,青,,50,20,1,,,女,剣,,,Lukina_SaintKingBlood,聖なる血脈,,,,,,〇,121,,1,
謎多き戦術師 ルフレ(男),P01-015PR_SAMPLE,Robin(M)_P01-015PR by I deserve this,PR,ルフレ(男),Robin(M),2,,,青,,50,20,1,,,男,剣,,,Lufure_SecretTactics,戦知識,,,,,,〇,122,,1,
神刀に選ばれし皇子 カムイ(男),B02-001SRplus_SAMPLE,Corrin(M)_B02-001SR+ by I deserve this,,カムイ(男),Corrin(M),5,〇,4,白,,70,20,1,,,男,剣,,,KamuiOtoko_SelectedByGodSword,光の御旗,汚れなき白刃,,,,,〇,123,,2,
竜を秘めし王子 カムイ(男),B02-002N_SAMPLE,Corrin(M)_B02-002N by I deserve this,,カムイ(男),Corrin(M),2,,,白,,60,20,1,,,男,竜石,竜,,KamuiOtoko_SealedDragon,竜の咆哮,,,,,,〇,124,,2,
白夜王国の王子 カムイ(男),B02-003HN_SAMPLE,Corrin(M)_B02-003HN by I deserve this,,カムイ(男),Corrin(M),1,,,白,,40,20,1,,,男,剣,,,KamuiOtoko_ByakuyaPrince,暗夜の心,夜刀神・空夜,,,英雄の紋章,,〇,125,,2,
白き歌い手 アクア,B02-004Rplus_SAMPLE,Azura_B02-004R+ by I deserve this,,アクア,Azura,3,,,白,,50,10,1,,,女,槍,,,Aqua_WhiteSinger,白夜の賛歌,,,,,,〇,126,,2,
泉の歌姫 アクア,B02-005HN_SAMPLE,Azura_B02-005HN by I deserve this,,アクア,Azura,1,,,白,,30,10,1,,,女,槍,,,Aqua_FountainSingPrincess,癒しの声,,,,歌舞の紋章,,〇,127,,2,
轟雷の剣聖 リョウマ,B02-006SRplus_SAMPLE,Ryoma_B02-006SR+ by I deserve this,,リョウマ,Ryoma,5,〇,4,白,,70,10,1,,,男,剣,,,Ryoma_LightningSwordman,雷神無双,不屈の軍勢,,,,,〇,128,,2,
白夜の第一王子 リョウマ,B02-007N_SAMPLE,Ryoma_B02-007N by I deserve this,,リョウマ,Ryoma,1,,,白,,40,10,1,,,男,剣,,,Ryouma_ByakuyaFirstPrince,白夜の長兄,,,,攻撃の紋章,,〇,129,,2,
紅蓮の将姫 ヒノカ,B02-008SR_SAMPLE,Hinoka_B02-008SR by I deserve this,,ヒノカ,Hinoka,4,〇,3,白,,60,30,1,,,女,槍,羽,馬,Hinoka_RedPrincess,叱咤激励,護りの騎手,,,,,〇,130,,2,
白夜の第一王女 ヒノカ,B02-009N_SAMPLE,Hinoka_B02-009N by I deserve this,,ヒノカ,Hinoka,1,,,白,,30,30,1,,,女,槍,羽,馬,Hinoka_ByakuyaFirstPrincess,白夜の王女,,,,天空の紋章,,〇,131,,2,
風纏う神射手 タクミ,B02-010SR_SAMPLE,Takumi_B02-010SR by I deserve this,,タクミ,Takumi,4,〇,3,白,,60,20,2,,,男,弓,,,Takumi_WindGodArcher,神器 風神弓,飛行特効,,,,,〇,132,,2,
白夜の弟王子 タクミ,B02-011N_SAMPLE,Takumi_B02-011N by I deserve this,,タクミ,Takumi,1,,,白,,30,20,2,,,男,弓,,,Takumi_ByakuyaJuniorPrince,対抗意識,飛行特効,,,攻撃の紋章,,〇,133,,2,
仁愛の戦巫女 サクラ,B02-012SRplus_SAMPLE,Sakura_B02-012SR+ by I deserve this,,サクラ,Sakura,4,〇,3,白,,60,20,2,,,女,弓,,,Sakura_HeartfulBattleMiko,雪割りの桜矢,飛行特効,,,,,〇,134,,2,
白夜の妹王女 サクラ,B02-013N_SAMPLE,Sakura_B02-013N by I deserve this,,サクラ,Sakura,1,,,白,,30,20,,,,女,杖,,,Sakura_ByakuyaJuniorPrincess,春祭,,,,祈りの紋章,,〇,135,,2,
爆炎使い サイゾウ,B02-014Rplus_SAMPLE,Saizo_B02-014R_by_I_deserve_this_fixed,,サイゾウ,Saizo,3,〇,2,白,,50,20,1,2,,男,暗器,,,Saizou_BigFireUser,炎魔の陣,強行偵察,,,,,〇,136,,2,
白夜の影忍 サイゾウ,B02-015N_SAMPLE,Saizo_B02-015N by I deserve this,,サイゾウ,Saizo,1,,,白,,30,20,1,2,,男,暗器,,,Saizou_ByakuyaShadowNinja,リョウマ隊のサイゾウ,,,,忍術の紋章,,〇,137,,2,
誠忠なるくノ一 カゲロウ,B02-016HN_SAMPLE,Kagero_B02-016HN by I deserve this,,カゲロウ,Kagero,3,〇,2,白,,50,20,1,2,,女,暗器,,,Kagerou_RoyalKunoichi,忍法車返し,針手裏剣,,,,,〇,138,,2,
古風な忍 カゲロウ,B02-017N_SAMPLE,Kagero_B02-017N by I deserve this,,カゲロウ,Kagero,1,,,白,,30,20,1,2,,女,暗器,,,Saizou_ByakuyaShadowNinja,リョウマ隊のカゲロウ,,,,忍術の紋章,,〇,139,,2,
おっとり弓聖 セツナ,B02-018HN_SAMPLE,Setsuna_B02-018HN by I deserve this,,セツナ,Setsuna,3,〇,2,白,,30,20,2,,,女,弓,,,Setsuna_SlowBowMaster,私もがんばる...,飛行特効,,,,,〇,140,,2,
ぼんやり弓使い セツナ,B02-019N_SAMPLE,Setsuna_B02-019N by I deserve this,,セツナ,Setsuna,1,,,白,,30,20,2,,,女,弓,,,Setsuna_BonyariArcher,ヒノカ隊のセツナ,飛行特効,,,攻撃の紋章,,〇,141,,2,
毒舌山伏 アサマ,B02-020HN_SAMPLE,Azama_B02-020HN by I deserve this,,アサマ,Azama,3,〇,2,白,,50,20,1,,,男,槍,,,Asama_BadWordYamabushi,輪廻転生,神雷の薙刀,,,,,〇,142,,2,
飄々とした僧 アサマ,B02-021N_SAMPLE,Azama_B02-021N by I deserve this,,アサマ,Azama,1,,,白,,20,20,,,,男,杖,,,Asama_CoolPriest,春祭,ヒノカ隊のアサマ,,,祈りの紋章,,〇,143,,2,
白夜の風雲児 ヒナタ,B02-022HN_SAMPLE,Hinata_B02-022HN by I deserve this,,ヒナタ,Hinata,3,〇,2,白,,60,10,1,,,男,剣,,,Hinata_ByakuyaBoy,悪あがき,一番太刀仕る!,,,,,〇,144,,2,
破天荒な侍 ヒナタ,B02-023N_SAMPLE,Hinata_B02-023N by I deserve this,,ヒナタ,Hinata,1,,,白,,40,10,1,,,男,剣,,,Hinata_RuleBreakingSamurai,タクミ隊のヒナタ,,,,攻撃の紋章,,〇,145,,2,
暗夜を屠る者 オボロ,B02-024R_SAMPLE,Oboro_B02-024R by I deserve this,,オボロ,Oboro,4,〇,3,白,,70,10,1,,,女,槍,,,Oboro_AnnyaHunter,魔王演武,入れ替え,,,,,〇,146,,2,
魔王顔の槍使い オボロ,B02-025N_SAMPLE,Oboro_B02-025N by I deserve this,,オボロ,Oboro,1,,,白,,40,10,1,,,女,槍,,,Oboro_AngryLancer,タクミ隊のオボロ,,,,攻撃の紋章,,〇,147,,2,
桜花の守り人 カザハナ,B02-026Rplus_SAMPLE,Hana_B02-026R+ by I deserve this,,カザハナ,Hana,3,〇,2,白,,60,10,1,,,女,剣,,,Kazahana_OukaGuardian,桜花吹雪,切磋琢磨,,,,,〇,148,,2,
お転婆侍 カザハナ,B02-027N_SAMPLE,Hana_B02-027N by I deserve this,,カザハナ,Hana,1,,,白,,40,10,1,,,女,剣,,,Kazahana_OtenbaSamurai,サクラ隊のカザハナ,,,,攻撃の紋章,,〇,149,,2,
完璧なる翼 ツバキ,B02-028Rplus_SAMPLE,Subaki_B02-028R+ by I deserve this,,ツバキ,Subaki,3,〇,2,白,,50,30,1,,,男,槍,羽,馬,Tsubaki_PerfectWing,完璧主義,切磋琢磨,,,,,〇,150,,2,
眉目秀麗な武者 ツバキ,B02-029N_SAMPLE,Subaki_B02-029N by I deserve this,,ツバキ,Subaki,1,,,白,,30,30,1,,,男,槍,羽,馬,Tsubaki_BeautifulMusha,サクラ隊のツバキ,,,,天空の紋章,,〇,151,,2,
敏腕メイド フェリシア,B02-030SR_SAMPLE,Felicia_B02-030SR by I deserve this,,フェリシア,Felicia,5,〇,4,白,,60,20,1,2,,女,暗器,,,Fericia_GreatMaid,いっきますよー!,容赦しませーん!,,,,,〇,152,,2,
ドジっ娘メイド フェリシア,B02-031N_SAMPLE,Felicia_B02-031N by I deserve this,,フェリシア,Felicia,3,〇,2,白,,50,20,1,2,,女,暗器,,,Fericia_CarelessMaid,ライブ,,,,,,〇,153,,2,
戦狂いの女武者 ユウギリ,B02-032N_SAMPLE,Reina_B02-032N by I deserve this,,ユウギリ,Reina,3,〇,2,白,,40,30,2,,,女,弓,羽,馬,Yuugiri_BerserkerMusha,天空を翔ける者,飛行特効,,,,,〇,154,,2,
艶やかや陰陽師 オロチ,B02-033HN_SAMPLE,Orochi_B02-033HN by I deserve this,,オロチ,Orochi,3,〇,2,白,,50,20,1,2,,女,魔導書,,,Orochi_BeautifulOnmyoushi,蛇神・巳,,,,,,〇,155,,2,
お茶目な呪い師 オロチ,B02-034N_SAMPLE,Orochi_B02-034N by I deserve this,,オロチ,Orochi,2,,,白,,40,20,1,2,,女,魔導書,,,Orochi_OchameCurseUser,鼠神・子,,,,,,〇,156,,2,
孤高なる炎 リンカ,B02-035HN_SAMPLE,Rinkah_B02-035HN by I deserve this,,リンカ,Rinkah,3,〇,2,白,,50,10,1,,,女,斧,,,Rinka_LonelyFire,鬼神の一撃,,,,,,〇,157,,2,
炎の娘 リンカ,B02-036N_SAMPLE,Rinkah_B02-036N by I deserve this,,リンカ,Rinkah,1,,,白,,30,10,1,,,女,斧,,,Saji_FighterOfTaris,部族の誇り,,,,攻撃の紋章,,〇,158,,2,
若き陰陽師 ツクヨミ,B02-037HN_SAMPLE,Hayato_B02-037HN by I deserve this,,ツクヨミ,Hayato,3,〇,2,白,,50,20,1,2,,男,魔導書,,,Tsukuyomi_YoungOnmyoushi,龍神・辰,好奇心,,,,,〇,159,,2,
少年呪い師 ツクヨミ,B02-038N_SAMPLE,Hayato_B02-038N by I deserve this,,ツクヨミ,Hayato,1,,,白,,30,20,1,2,,男,魔導書,,,Tsukuyomi_BoyCurseUser,尊大,,,,魔術の紋章,,〇,160,,2,
金色の妖 ニシキ,B02-039HN_SAMPLE,Kaden_B02-039HN by I deserve this,,ニシキ,Kaden,3,〇,2,白,,60,10,1,,,男,獣,馬,,Nishiki_GoldenAyakashi,妖狐の長,幻惑する者,,,,,〇,161,,2,
恩返しの妖狐 ニシキ,B02-040N_SAMPLE,Kaden_B02-040N by I deserve this,,ニシキ,Kaden,1,,,白,,40,10,1,,,男,獣,馬,,Nishiki_OngaeshiYouko,仲間との狩り,,,,攻撃の紋章,,〇,162,,2,
白き神竜姫 カンナ(女),B02-041HN_SAMPLE,Kana(F)_B02-041HN by I deserve this,,カンナ(女),Kana(F),3,〇,2,白,,50,20,1,,,女,竜,竜石,,KannnaOnnna_WhiteGodDragon,暴走する力,神祖竜の血族,,,,,〇,163,,2,
竜の幼姫 カンナ(女),B02-042N_SAMPLE,Kana(F)_B02-042N by I deserve this,,カンナ(女),Kana(F),1,,,白,,30,20,1,,,女,竜,竜石,,KannnaOnnna_DragonLittlePrinces,神祖竜の血族,,,,竜人の紋章,,〇,164,,2,
サイゾウを継ぐ者 グレイ,B02-043R_SAMPLE,Asugi_B02-043R by I deserve this,,グレイ,Asugi,3,〇,2,白,,50,20,1,2,,男,暗器,,,Glay_SaizouHeir,忍の戦法,サイゾウの名前,,,,,〇,165,,2,
甘党の忍 グレイ,B02-044N_SAMPLE,Asugi_B02-044N by I deserve this,,グレイ,Asugi,1,,,白,,30,20,1,2,,男,暗器,,,Glay_SweetNinja,一撃離脱,,,,忍術の紋章,,〇,166,,2,
完璧を纏う翼 マトイ,B02-045R_SAMPLE,Caeldori_B02-045R by I deserve this,,マトイ,Caeldori,3,〇,2,白,,50,30,1,,,女,槍,羽,馬,Matoi_PerfectPersueWing,速さの叫び,武器輸送,,,,,〇,167,,2,
天才腕の少女武者 マトイ,B02-046N_SAMPLE,Caeldori_B02-046N by I deserve this,,マトイ,Caeldori,1,,,白,,30,30,1,,,女,槍,羽,馬,Matoi_GeniusMusha,父への憧れ,,,,天空の紋章,,〇,168,,2,
昏き 愛炎の陰陽師 シャラ,B02-047R_SAMPLE,Rhajat_B02-047R by I deserve this,,シャラ,Rhajat,3,〇,2,白,,50,20,1,2,,女,魔導書,,,Shara_DarkFireOnmyoushi,魔術の才能,秘術の研究,,,,,〇,169,,2,
執念の呪い師 シャラ,B02-048N_SAMPLE,Rhajat_B02-048N by I deserve this,,シャラ,Rhajat,1,,,白,,30,20,1,2,,女,魔導書,,,Shara_ShuunenCurseUser,親子の秘術,,,,魔術の紋章,,〇,170,,2,
なりたて金鵄武者 エマ,B02-049HN_SAMPLE,Emma_B02-049HN by I deserve this,,エマ,Emma,3,〇,2,白,,40,30,2,,,女,弓,羽,馬,Ema_BeginnerKinshiMusha,先輩のフォロー,飛行特効,,,,,〇,171,,2,
見習い天馬武者 エマ,B02-050N_SAMPLE,Emma_B02-050N by I deserve this,,エマ,Emma,1,,,白,,30,30,1,,,女,槍,羽,馬,Smia_FlowerScry,天空の運び手,,,,天空の紋章,,〇,172,,2,
未来を選びし王子 カムイ(男),S03-001STplus_SAMPLE,Corrin_S03-001ST+ by I deserve this,,カムイ(男),Corrin,4,〇,3,白,,70,20,1,,,男,剣,,,KamuiOtoko_SelectedFuture,連なる想い,白夜に捧ぐ剣,,,,,〇,173,,2,
白夜の後継者 リョウマ,S03-002STplus_SAMPLE,Ryoma_S03-002ST+ by I deserve this,,リョウマ,Ryoma,4,〇,3,白,,70,10,1,,,男,剣,,,Ryouma_ByakuyaHeir,神器 雷神刀,諦めなどしない!,,,,,〇,174,,2,
紅の戦姫 ヒノカ,S03-003STplus_SAMPLE,Hinoka_S03-003ST by I deserve this,,ヒノカ,Hinoka,3,〇,2,白,,50,30,1,,,女,槍,羽,馬,Hinoka_RedBattlePrincess,投げ薙刀,天空の聖騎手,,,,,〇,175,,2,
神弓の使い手 タクミ,S03-004STplus_SAMPLE,Takumi_S03-004ST by I deserve this,,タクミ,Takumi,3,〇,2,白,,50,20,2,,,男,弓,,,Takumi_GodArcher,巧者の和弓,飛行特効,,,,,〇,176,,2,
慈しみの巫女 サクラ,S03-005STplus_SAMPLE,Sakura_S03-005ST+ by I deserve this,,サクラ,Sakura,3,〇,2,白,,50,20,2,,,女,弓,,,Sakura_MercyMiko,小さな声援,飛行特効,,,,,〇,177,,2,
神刀に選ばれし皇女 カムイ(女),B02-051SRplus_SAMPLE,Corrin(F)_B02-051SR+ by I deserve this,,カムイ(女),Corrin(F),5,〇,4,黒,,70,20,1,,,女,剣,,,KamuiOnnna_SelectedSword,血塗られた黒刃,闇の行軍,,,,,〇,178,,2,
竜を秘めし王女 カムイ(女),B02-052N_SAMPLE,Corrin(F)_B02-052N by I deserve this,,カムイ(女),Corrin(F),2,,,黒,,60,20,1,,,女,竜石,竜,,KamuiOtoko_SealedDragon,竜の咆哮,,,,,,〇,179,,2,
暗夜王国の王女 カムイ(女),B02-053HN_SAMPLE,Corrin(F)_B02-053HN by I deserve this,,カムイ(女),Corrin(F),1,,,黒,,40,20,1,,,女,剣,,,KamuiOnnna_AnnnaPrincess,白夜の心,夜刀神・長夜,,,英雄の紋章,,〇,180,,2,
黒き歌い手 アクア,B02-054Rplus_SAMPLE,Azura_B02-054R+ by I deserve this,,アクア,Azura,3,,,黒,,50,10,1,,,女,槍,,,Aqua_BlackSinger,暗夜の聖歌,,,,,,〇,181,,2,
水面の歌姫 アクア,B02-055HN_SAMPLE,Azura_B02-055HN by I deserve this,,アクア,Azura,1,,,黒,,30,10,1,,,女,槍,,,Aqua_WaterSurfaceSingPrincess,癒しの声,,,,歌舞の紋章,,〇,182,,2,
暗黒の聖騎士 マークス,B02-056SRplus_SAMPLE,Xander_B02-056SR+ by I deserve this,,マークス,Xander,5,〇,4,黒,,70,10,1,,,男,剣,馬,,Marks_DarkHollyKnight,不退なる覇道,逃れえぬ運命,,,,,〇,183,,2,
暗夜の第一王子 マークス,B02-057N_SAMPLE,Xander_B02-057N by I deserve this,,マークス,Xander,1,,,黒,,40,10,1,,,男,剣,馬,,Marks_AnnyaFirstPrince,暗夜の長兄,,,,攻撃の紋章,,〇,184,,2,
美しき死神 カミラ,B02-058SR_SAMPLE,Camilla_B02-058SR by I deserve this,,カミラ,Camilla,4,〇,3,黒,,60,30,1,,,女,斧,羽,竜,Kamira_BeatuifulDeathGod,鮮血の闇姫,死の吐息,,,,,〇,185,,2,
暗夜の第一王女 カミラ,B02-059N_SAMPLE,Camilla_B02-059N by I deserve this,,カミラ,Camilla,1,,,黒,,30,30,1,,,女,斧,羽,竜,Kamira_AnnyaFirstPrincess,暗夜の王女,,,,天空の紋章,,〇,186,,2,
ダークネス・プリンス レオン,B02-060SR_SAMPLE,Leo_B02-060SR by I deserve this,,レオン,Leo,5,〇,4,黒,,60,20,1,2,,男,魔導書,馬,,Leon_DarknessPrince,神器 ブリュンヒルデ,蝕む闇,,,,,〇,187,,2,
暗夜の弟王子 レオン,B02-061N_SAMPLE,Leo_B02-061N by I deserve this,,レオン,Leo,1,,,黒,,30,20,1,2,,男,魔導書,,,Henley_BrokenHeart,魔の風,,,,暗闇の紋章,,〇,188,,2,
晴天の明星 エリーゼ,B02-062SRplus_SAMPLE,Elise_B02-062SR+ by I deserve this,,エリーゼ,Elise,4,〇,3,黒,,60,20,1,2,,女,魔導書,馬,,Erese_SunnyBrightStart,エリーゼの出番!,エリーゼにお任せ!,,,,,〇,189,,2,
暗夜の妹姫 エリーゼ,B02-063N_SAMPLE,Elise_B02-063N by I deserve this,,エリーゼ,Elise,1,,,黒,,30,20,,,,女,杖,,,Ereese_AnnyaJuniorSister,ライブ,,,,祈りの紋章,,〇,190,,2,
舞い斬る華麗な勇士 ラズワルド,B02-064R_SAMPLE,Laslow_B02-064R by I deserve this,,ラズワルド,Laslow,4,〇,3,黒,,70,10,1,,,男,剣,,,Razwald_DunceCutWarrior,お茶でも行かない?,女の子には優しくしなくちゃ,,,,,〇,191,,2,
花咲く笑顔 ラズワルド,B02-065N_SAMPLE,Laslow_B02-065N by I deserve this,,ラズワルド,Laslow,1,,,黒,,40,10,1,,,男,剣,,,Razwald_SmileFlower,マークス隊のラズワルド,,,,攻撃の紋章,,〇,192,,2,
イノセント・キラー ピエリ,B02-066R_SAMPLE,Peri_B02-066R by I deserve this,,ピエリ,Peri,3,〇,2,黒,,60,10,1,,,女,槍,馬,鎧,Pieri_InnocentKiller,返り血いっぱいなの!,ピエリの小槍,,,,,〇,193,,2,
殺戮本能 ピエリ,B02-067N_SAMPLE,Peri_B02-067N by I deserve this,,ピエリ,Peri,1,,,黒,,40,10,1,,,女,槍,馬,,Pieri_KillingInstinct,マークス隊のピエリ,,,,攻撃の紋章,,〇,194,,2,
愛を知らぬ刃 ベルカ,B02-068HN_SAMPLE,Beruka_B02-068HN by I deserve this,,ベルカ,Beruka,3,〇,2,黒,,50,30,1,,,女,斧,羽,竜,Belca_UnknownLove,切り込み,トマホーク,,,,,〇,195,,2,
冷徹なる殺し屋 ベルカ,B02-069N_SAMPLE,Beruka_B02-069N by I deserve this,,ベルカ,Beruka,1,,,黒,,30,30,1,,,女,斧,羽,竜,Belca_CoolBloodKiller,カミラ隊のベルカ,,,,天空の紋章,,〇,196,,2,
負けず嫌いな弓騎士 ルーナ,B02-070R_SAMPLE,Selena_B02-070R by I deserve this,,ルーナ,Selena,3,〇,2,黒,,50,20,2,,,女,弓,馬,,Roona_PowerfulBowKnight,負けん気,ショートボウ,飛行特効,,,,〇,197,,2,
秘めた憧憬 ルーナ,B02-071N_SAMPLE,Selena_B02-071N by I deserve this,,ルーナ,Selena,1,,,黒,,40,10,1,,,女,剣,,,Roona_SecretRespect,カミラ隊のルーナ,,,,攻撃の紋章,,〇,198,,2,
選ばれし闇の者 オーディン,B02-072R_SAMPLE,Odin_B02-072R by I deserve this,,オーディン,Odin,4,〇,3,黒,,60,20,1,2,,男,魔導書,,,Odin_SelectedDarkMan,百の必殺技,禁断魔書 カイザー・クヴァール,,,,,〇,199,,2,
力を封印せし者 オーディン,B02-073N_SAMPLE,Odin_B02-073N by I deserve this,,オーディン,Odin,1,,,黒,,30,20,1,2,,男,魔導書,,,Odin_SealedPower,レオン隊のオーディン,,,,暗闇の紋章,,〇,200,,2,
加虐性癖 ゼロ,B02-074HN_SAMPLE,Niles_B02-074HN by I deserve this,,ゼロ,Niles,3,〇,2,黒,,50,10,2,,,男,弓,,,Zero_Saddhist,イイねぇ、その顔…,飛行特効,,,,,〇,201,,2,
愉悦の囁き ゼロ,B02-075N_SAMPLE,Niles_B02-075N by I deserve this,,ゼロ,Niles,1,,,黒,,30,10,2,,,男,弓,,,Zero_FunWhiper,レオン隊のゼロ,飛行特効,,,盗賊の紋章,,〇,202,,2,
剛腕粉砕 エルフィ,B02-076HN_SAMPLE,Effie_B02-076HN by I deserve this,,エルフィ,Effie,3,〇,2,黒,,50,10,1,,,女,槍,鎧,,Elfie_GouwanFunsai,重装の心得,重装の覚悟,,,,,〇,203,,2,
怪力の重騎士 エルフィ,B02-077N_SAMPLE,Effie_B02-077N by I deserve this,,エルフィ,Effie,1,,,黒,,30,10,1,,,女,槍,鎧,,Elfie_PowerfulHeavyKnight,エリーゼ隊のエルフィ,,,,防御の紋章,,〇,204,,2,
ミスター・ハードラック ハロルド,B02-078HN_SAMPLE,Arthur_B02-078HN by I deserve this,,ハロルド,Arthur,3,〇,2,黒,,50,10,1,,,男,斧,,,Harold_MrHardLock,助けて! ハロルド!,ヒーローの心得,,,,,〇,205,,2,
不運なヒーロー ハロルド,B02-079N_SAMPLE,Arthur_B02-079N by I deserve this,,ハロルド,Arthur,1,,,黒,,40,10,1,,,男,斧,,,Harold_UnluckyHero,ヒーローの心得,こんな所に底なし沼が!?,,,攻撃の紋章,,〇,206,,2,
ファイティング・バトラー ジョーカー,B02-080SR_SAMPLE,Jakob_B02-080SR by I deserve this,,ジョーカー,Jakob,5,〇,4,黒,,60,20,1,2,,男,暗器,,,Joker_FightingBattler,どうぞこちらへ,すぐに手当てを,貴方のために,,,,〇,207,,2,
忠実なる執事 ジョーカー,B02-081N_SAMPLE,Jakob_B02-081N by I deserve this,,ジョーカー,Jakob,3,〇,2,黒,,50,20,1,2,,男,暗器,,,Joker_RoyalSituji,ライブ,,,,,,〇,208,,2,
忠節なる老騎士 ギュンター,B02-082N_SAMPLE,Gunter_B02-082N by I deserve this,,ギュンター,Gunter,3,〇,2,黒,,70,20,1,,,男,槍,馬,鎧,Jeigan_OldPowerful,戦場の教育役,,,,,,〇,209,,2,
幼躯に秘めた闇 ニュクス,B02-083HN_SAMPLE,Nyx_B02-083HN by I deserve this,,ニュクス,Nyx,4,〇,3,黒,,50,20,1,2,,女,魔導書,,,Nyux_DarkSealedInSmallBody,呪詛返し,,,,,,〇,210,,2,
呪われし呪術師 ニュクス,B02-084N_SAMPLE,Nyx_B02-084N by I deserve this,,ニュクス,Nyx,2,,,黒,,50,20,1,2,,女,魔導書,,,Nyux_CursedCurseUser,幼子の姿,,,,,,〇,211,,2,
二つの顔を持つ狂戦士 シャーロッテ,B02-085HN_SAMPLE,Charlotte_B02-085HN by I deserve this,,シャーロッテ,Charlotte,3,〇,2,黒,,50,10,1,,,女,斧,,,Challotte_HasDoubleFace,夢は玉の輿,,,,,,〇,212,,2,
可憐な乙女戦士 シャーロッテ,B02-086N_SAMPLE,Charlotte_B02-086N by I deserve this,,シャーロッテ,Charlotte,1,,,黒,,30,10,1,,,女,斧,,,Challotte_CuteFemaleWarrior,女の本性,,,,攻撃の紋章,,〇,213,,2,
歩く伝説 ブノワ,B02-087HN_SAMPLE,Benny_B02-087HN by I deserve this,,ブノワ,Benny,3,〇,2,黒,,50,10,1,,,男,槍,鎧,,Bnowa_WalkingLegend,鉄壁の盾,重装の心得,,,,,〇,214,,2,
強面の重騎士 ブノワ,B02-088N_SAMPLE,Benny_B02-088N by I deserve this,,ブノワ,Benny,1,,,黒,,30,10,1,,,男,槍,鎧,,Doga_DefendingKnight,重装の心得,,,,防御の紋章,,〇,215,,2,
